method,step,best_y,normalized_regret,filter_active,retained_fraction,compatibility_trust,problem,dim,seed
Matching-Adaptive-Filter,18,-0.7986302165633931,0.23089225631505403,1.0,0.62,0.5075375912332244,GMM,2,42
Matching-Adaptive-Filter,19,-0.7986302165633931,0.23089225631505403,1.0,0.63,0.4998200169395641,GMM,2,42
Matching-Adaptive-Filter,20,-0.7986302165633931,0.23089225631505403,1.0,0.61,0.5201333467881263,GMM,2,42
Random-Adaptive-Filter,0,-0.12722582054929782,1.0,0.0,1.0,0.0,GMM,2,42
Random-Adaptive-Filter,1,-0.12722582054929782,1.0,1.0,0.93,0.099999999999975,GMM,2,42
Random-Adaptive-Filter,2,-0.12722582054929782,1.0,1.0,0.95,0.079999999999984,GMM,2,42
Random-Adaptive-Filter,3,-0.26263555622442913,0.8448853226217351,1.0,0.96,0.06666666666665555,GMM,2,42
Random-Adaptive-Filter,4,-0.4705810708373719,0.6066793970978162,1.0,0.96,0.05714285714284898,GMM,2,42
Random-Adaptive-Filter,5,-0.4705810708373719,0.6066793970978162,0.0,1.0,0.04999999999999375,GMM,2,42
Random-Adaptive-Filter,6,-0.4705810708373719,0.6066793970978162,0.0,1.0,0.04444444444443951,GMM,2,42
Random-Adaptive-Filter,7,-0.4705810708373719,0.6066793970978162,0.0,1.0,0.039999999999996004,GMM,2,42
Random-Adaptive-Filter,8,-0.4705810708373719,0.6066793970978162,0.0,1.0,0.03636363636363306,GMM,2,42
Random-Adaptive-Filter,9,-0.4705810708373719,0.6066793970978162,0.0,1.0,0.03333333333333056,GMM,2,42
Random-Adaptive-Filter,10,-0.4705810708373719,0.6066793970978162,0.0,1.0,0.0307692307692284,GMM,2,42
Random-Adaptive-Filter,11,-0.6706636649273292,0.37748061108342224,0.0,1.0,0.028571428571426534,GMM,2,42
Random-Adaptive-Filter,12,-0.7922177261415608,0.23823789788221644,0.0,1.0,0.026666666666664892,GMM,2,42
Random-Adaptive-Filter,13,-0.7922177261415608,0.23823789788221644,0.0,1.0,0.02499999999999844,GMM,2,42
Random-Adaptive-Filter,14,-0.7922177261415608,0.23823789788221644,0.0,1.0,0.0235294117647045,GMM,2,42
Random-Adaptive-Filter,15,-0.7922177261415608,0.23823789788221644,0.0,1.0,0.02222222222222099,GMM,2,42
Random-Adaptive-Filter,16,-0.7922177261415608,0.23823789788221644,0.0,1.0,0.021052631578946265,GMM,2,42
Random-Adaptive-Filter,17,-0.7934707969989845,0.23680247907121085,0.0,1.0,0.019999999999999005,GMM,2,42
Random-Adaptive-Filter,18,-0.7934707969989845,0.23680247907121085,0.0,1.0,0.03546927609427457,GMM,2,42
Random-Adaptive-Filter,19,-0.7934707969989845,0.23680247907121085,0.0,1.0,0.01818181818181736,GMM,2,42
Random-Adaptive-Filter,20,-0.7934707969989845,0.23680247907121085,0.0,1.0,0.01739130434782533,GMM,2,42
Wrong-Adaptive-Filter,0,-0.12722582054929782,1.0,0.0,1.0,0.0,GMM,2,42
Wrong-Adaptive-Filter,1,-0.12722582054929782,1.0,1.0,0.83,0.2278571428571051,GMM,2,42
Wrong-Adaptive-Filter,2,-0.48148311360901846,0.5941908796447938,1.0,0.81,0.2547835497835179,GMM,2,42
Wrong-Adaptive-Filter,3,-0.6342679413665999,0.41917267177553885,1.0,0.8,0.27142857142854326,GMM,2,42
Wrong-Adaptive-Filter,4,-0.6342679413665999,0.41917267177553885,1.0,0.83,0.23582875457873267,GMM,2,42
Wrong-Adaptive-Filter,5,-0.6342679413665999,0.41917267177553885,1.0,0.8,0.2756441970727461,GMM,2,42
Wrong-Adaptive-Filter,6,-0.6342679413665999,0.41917267177553885,1.0,0.79,0.28815656565654457,GMM,2,42
Wrong-Adaptive-Filter,7,-0.7328265611545417,0.3062717165005677,1.0,0.8,0.2788548951048762,GMM,2,42
Wrong-Adaptive-Filter,8,-0.7947611274544244,0.23532437861330066,1.0,0.82,0.24331660986071202,GMM,2,42
Wrong-Adaptive-Filter,9,-0.7947611274544244,0.23532437861330066,1.0,0.8,0.2696649029982205,GMM,2,42
Wrong-Adaptive-Filter,10,-0.7947611274544244,0.23532437861330066,1.0,0.8,0.27992336610756113,GMM,2,42
Wrong-Adaptive-Filter,11,-0.7947611274544244,0.23532437861330066,1.0,0.78,0.2998281130633916,GMM,2,42
Wrong-Adaptive-Filter,12,-0.7947611274544244,0.23532437861330066,1.0,0.76,0.3333283464900949,GMM,2,42
Wrong-Adaptive-Filter,13,-0.7947611274544244,0.23532437861330066,1.0,0.75,0.34022656909652227,GMM,2,42
Wrong-Adaptive-Filter,14,-0.7947611274544244,0.23532437861330066,1.0,0.73,0.3612951611437115,GMM,2,42
Wrong-Adaptive-Filter,15,-0.7966863780245154,0.23311896391720782,1.0,0.72,0.37443609022554797,GMM,2,42
Wrong-Adaptive-Filter,16,-0.7966863780245154,0.23311896391720782,1.0,0.72,0.38390328092958115,GMM,2,42
Wrong-Adaptive-Filter,17,-0.909030299856859,0.10442665753651231,1.0,0.71,0.39695968627644107,GMM,2,42
Wrong-Adaptive-Filter,18,-0.909030299856859,0.10442665753651231,1.0,0.71,0.39943404019489476,GMM,2,42
Wrong-Adaptive-Filter,19,-0.909030299856859,0.10442665753651231,1.0,0.71,0.3972579051383255,GMM,2,42
Wrong-Adaptive-Filter,20,-0.909030299856859,0.10442665753651231,1.0,0.68,0.42677942066861,GMM,2,42
Oracle-Fixed-Filter,0,-0.12722582054929782,1.0,0.0,1.0,0.0,GMM,2,42
Oracle-Fixed-Filter,1,-0.1386422156661225,0.9869222812042289,1.0,0.25,1.0,GMM,2,42
Oracle-Fixed-Filter,2,-0.1386422156661225,0.9869222812042289,1.0,0.25,1.0,GMM,2,42
Oracle-Fixed-Filter,3,-0.21163025433728988,0.9033129600981564,1.0,0.25,1.0,GMM,2,42
Oracle-Fixed-Filter,4,-0.21163025433728988,0.9033129600981564,1.0,0.25,1.0,GMM,2,42
Oracle-Fixed-Filter,5,-0.21163025433728988,0.9033129600981564,1.0,0.25,1.0,GMM,2,42
Oracle-Fixed-Filter,6,-0.4969302244033298,0.5764958919443935,1.0,0.25,1.0,GMM,2,42
Oracle-Fixed-Filter,7,-0.6944467316245347,0.3502366119764931,1.0,0.25,1.0,GMM,2,42
Oracle-Fixed-Filter,8,-0.8349095249656523,0.18933355161582813,1.0,0.25,1.0,GMM,2,42
Oracle-Fixed-Filter,9,-0.945817271572212,0.0622864139203489,1.0,0.25,1.0,GMM,2,42
Oracle-Fixed-Filter,10,-0.9962773170132435,0.004483379079068427,1.0,0.25,1.0,GMM,2,42
Oracle-Fixed-Filter,11,-0.9962773170132435,0.004483379079068427,1.0,0.25,1.0,GMM,2,42
Oracle-Fixed-Filter,12,-0.9962773170132435,0.004483379079068427,1.0,0.25,1.0,GMM,2,42
Oracle-Fixed-Filter,13,-0.9962773170132435,0.004483379079068427,0.0,1.0,1.0,GMM,2,42
Oracle-Fixed-Filter,14,-0.9962773170132435,0.004483379079068427,0.0,1.0,1.0,GMM,2,42
Oracle-Fixed-Filter,15,-0.9962773170132435,0.004483379079068427,1.0,0.25,1.0,GMM,2,42
Oracle-Fixed-Filter,16,-0.9962773170132435,0.004483379079068427,0.0,1.0,1.0,GMM,2,42
Oracle-Fixed-Filter,17,-0.9962773170132435,0.004483379079068427,0.0,1.0,1.0,GMM,2,42
Oracle-Fixed-Filter,18,-0.9971765972623703,0.0034532347912854026,1.0,0.25,1.0,GMM,2,42
Oracle-Fixed-Filter,19,-0.9971765972623703,0.0034532347912854026,0.0,1.0,1.0,GMM,2,42
Oracle-Fixed-Filter,20,-0.9971765972623703,0.0034532347912854026,0.0,1.0,1.0,GMM,2,42
Matching-Soft-Rerank,0,-0.12722582054929782,1.0,0.0,1.0,,GMM,2,42
Matching-Soft-Rerank,1,-0.22506016845054047,0.8879287132823106,0.0,1.0,,GMM,2,42
Matching-Soft-Rerank,2,-0.22506016845054047,0.8879287132823106,0.0,1.0,,GMM,2,42
Matching-Soft-Rerank,3,-0.30098270999513,0.8009578579098355,0.0,1.0,,GMM,2,42
Matching-Soft-Rerank,4,-0.5328857603532536,0.5353080753444434,0.0,1.0,,GMM,2,42
Matching-Soft-Rerank,5,-0.5328857603532536,0.5353080753444434,0.0,1.0,,GMM,2,42
Matching-Soft-Rerank,6,-0.8729739869137657,0.14572991628472973,0.0,1.0,,GMM,2,42
Matching-Soft-Rerank,7,-0.9770860754428916,0.026467346700239945,0.0,1.0,,GMM,2,42
Matching-Soft-Rerank,8,-0.9770860754428916,0.026467346700239945,0.0,1.0,,GMM,2,42
Matching-Soft-Rerank,9,-0.9770860754428916,0.026467346700239945,0.0,1.0,,GMM,2,42
Matching-Soft-Rerank,10,-0.9950128682448536,0.005931831524472398,0.0,1.0,,GMM,2,42
Matching-Soft-Rerank,11,-0.9950128682448536,0.005931831524472398,0.0,1.0,,GMM,2,42
