problem,dim,seed,relation,source_task_id,source_region_id,source_chart_anchor,oracle_source_anchor,target_anchor,extracted_center,normalized_anchor_error,chart_radius,source_oof_spearman,source_oof_ndcg,source_reliability,source_context_count,source_core_count,source_fidelity_ndcg,source_fidelity_spearman,source_fidelity_pairwise,source_membership_mean,source_membership_min,source_membership_below_0_05,matching_source_data_hash,wrong_source_data_hash,target_context_design_hash,target_test_design_hash,target_test_truth_hash
Rastrigin,2,42,reversed,matching_Rastrigin_2_42,matching_Rastrigin_2_42::region_0,"[-0.19685734068469712, -1.4861900180741727]","[0.15297443671960634, -1.5001811347214087]","[0.19716064475910078, -1.4101074905476865]","[-0.19685734068469712, -1.4861900180741727]",0.8547642696949368,0.4096,0.14542897327707457,0.5590534944813459,0.0813025757093828,80,32,0.22450107189299437,-0.6049989986266879,0.2910232843137255,0.9752452922939101,0.9237045519124648,0.0,7e23b477209ef39f8d30f1b0e617a2fcaca5a693561464513b6910405c5ab75f,6c37826beb391d18b820a04bce2da2f6ba2fcac6dec72641c0d260d5ae1f9a48,7ce467ad8a76320b0abcbbef2acb1844f23d83e511b1ea9f29604167710cfd3b,dd751eed3e689953190c5e9424ba417ae3bf2c5a0d6d23cd4bcad08e47827e64,0753bbd8c6cb422e703797f9b9a26f3e45fcc3881a643768524cbb4d216f7022
Rastrigin,2,101,matching,matching_Rastrigin_2_101,matching_Rastrigin_2_101::region_0,"[0.6443322186154539, 1.0130211108125136]","[0.9230620144212968, 1.457268611920807]","[0.6578458863889685, 1.1682629069045558]","[0.6443322186154539, 1.0130211108125136]",1.2803916412441887,0.4096,0.06856540084388185,0.7260382745006849,0.04978110531913978,80,32,0.2102448533014629,-0.5590631437399862,0.3084558823529412,0.9836852799397079,0.9513875899741063,0.0,6382e69f0df190c5d2f091f993ef805c68c6aadbc297246f17698cefedf75331,48e91d821880c8cae072e98c652e28de971d88228187e2a3b1332d8cced2fa34,7a45be677e75ac7e589573b897e3ec12cfe9b39259b299712aab779a1ee98107,6ab781dabe800b05bd1ba00cd64f8c686f6771feced1fe2bf9600d1b4bd8df8d,4f1eda2e5eaff81e09dc8a555b82afa208b50f19fe086a9545588ebbf06a8d5a
Rastrigin,2,101,wrong,wrong_Rastrigin_2_101,wrong_Rastrigin_2_101::region_0,"[-1.0898101286938982, -1.2307162472077597]","[-0.6578458863889685, -1.1682629069045558]","[0.6578458863889685, 1.1682629069045558]","[-1.0898101286938982, -1.2307162472077597]",1.0655655291820954,0.4096,0.11193155180496953,0.8194938441533965,0.09172721767070953,80,32,0.6379932609114853,-0.25711833371480886,0.42668504901960785,0.9813988525286608,0.9477125018218333,0.0,6382e69f0df190c5d2f091f993ef805c68c6aadbc297246f17698cefedf75331,48e91d821880c8cae072e98c652e28de971d88228187e2a3b1332d8cced2fa34,7a45be677e75ac7e589573b897e3ec12cfe9b39259b299712aab779a1ee98107,6ab781dabe800b05bd1ba00cd64f8c686f6771feced1fe2bf9600d1b4bd8df8d,4f1eda2e5eaff81e09dc8a555b82afa208b50f19fe086a9545588ebbf06a8d5a
Rastrigin,2,101,reversed,matching_Rastrigin_2_101,matching_Rastrigin_2_101::region_0,"[0.6443322186154539, 1.0130211108125136]","[0.9230620144212968, 1.457268611920807]","[0.6578458863889685, 1.1682629069045558]","[0.6443322186154539, 1.0130211108125136]",1.2803916412441887,0.4096,0.06856540084388185,0.7260382745006849,0.04978110531913978,80,32,0.5194892439623569,0.5590631437399862,0.6915441176470588,0.9836852799397079,0.9513875899741063,0.0,6382e69f0df190c5d2f091f993ef805c68c6aadbc297246f17698cefedf75331,48e91d821880c8cae072e98c652e28de971d88228187e2a3b1332d8cced2fa34,7a45be677e75ac7e589573b897e3ec12cfe9b39259b299712aab779a1ee98107,6ab781dabe800b05bd1ba00cd64f8c686f6771feced1fe2bf9600d1b4bd8df8d,4f1eda2e5eaff81e09dc8a555b82afa208b50f19fe086a9545588ebbf06a8d5a
Rastrigin,2,2026,matching,matching_Rastrigin_2_2026,matching_Rastrigin_2_2026::region_0,"[-1.2130484752365984, -0.379358500902083]","[-1.242130903538928, -0.6174906376822564]","[-1.1576212751154464, -0.6558899556804636]","[-1.2130484752365984, -0.379358500902083]",0.5856968815608087,0.4096,-0.07407407407407408,0.49741887399401025,0.0,80,32,0.7253094319089048,0.3918259327077133,0.6420036764705882,0.9846261895642466,0.9539121784107363,0.0,e37a663d2344da54557ba57ec9654ba66e315cc2bbe7bdc7a807da9b87166264,1e0a38b35231da3c13f1bbccf56ff261a2e3d6bc05defe1841b3c8e139c408db,4df340b3a3950b2640ccc981d082620bb2471479d6a89fb1084d6c9b956b0db7,7ff0495efdad2442bf13da0556935647354895fff46ae029cf759f73dec6d54f,73cb3561f84846c9d3a4fe1038390193668e4ad90c671e79467a7e3e484c0849
Rastrigin,2,2026,wrong,wrong_Rastrigin_2_2026,wrong_Rastrigin_2_2026::region_0,"[0.8362944104525823, 0.9284167035883176]","[1.1576212751154464, 0.6558899556804636]","[-1.1576212751154464, -0.6558899556804636]","[0.8362944104525823, 0.9284167035883176]",1.0286458463753094,0.4096,-0.1257149554617909,0.58545525911661,0.0,80,32,0.7978186548835547,0.6104693579766536,0.7222732843137255,0.9858686850235742,0.9597574068261685,0.0,e37a663d2344da54557ba57ec9654ba66e315cc2bbe7bdc7a807da9b87166264,1e0a38b35231da3c13f1bbccf56ff261a2e3d6bc05defe1841b3c8e139c408db,4df340b3a3950b2640ccc981d082620bb2471479d6a89fb1084d6c9b956b0db7,7ff0495efdad2442bf13da0556935647354895fff46ae029cf759f73dec6d54f,73cb3561f84846c9d3a4fe1038390193668e4ad90c671e79467a7e3e484c0849
Rastrigin,2,2026,reversed,matching_Rastrigin_2_2026,matching_Rastrigin_2_2026::region_0,"[-1.2130484752365984, -0.379358500902083]","[-1.242130903538928, -0.6174906376822564]","[-1.1576212751154464, -0.6558899556804636]","[-1.2130484752365984, -0.379358500902083]",0.5856968815608087,0.4096,-0.07407407407407408,0.49741887399401025,0.0,80,32,0.2481613510435897,-0.3918259327077133,0.35799632352941174,0.9846261895642466,0.9539121784107363,0.0,e37a663d2344da54557ba57ec9654ba66e315cc2bbe7bdc7a807da9b87166264,1e0a38b35231da3c13f1bbccf56ff261a2e3d6bc05defe1841b3c8e139c408db,4df340b3a3950b2640ccc981d082620bb2471479d6a89fb1084d6c9b956b0db7,7ff0495efdad2442bf13da0556935647354895fff46ae029cf759f73dec6d54f,73cb3561f84846c9d3a4fe1038390193668e4ad90c671e79467a7e3e484c0849
Rastrigin,2,777,matching,matching_Rastrigin_2_777,matching_Rastrigin_2_777::region_0,"[0.10664547820753625, -0.3370143795198237]","[-0.34422012524780493, -0.4444428045733176]","[-0.42949265280792837, -0.8002631867346877]","[0.10664547820753625, -0.3370143795198237]",1.1315612693739452,0.4096,0.07416783872480076,0.5080822187772682,0.03768336006121137,80,32,0.8644684805710026,0.5238803437357644,0.6862342596280523,0.9848036258157664,0.9575220274795384,0.0,bb48864f5f0eba852ac30ea7708a6805eac770fa4b23545521f3c3ffbd3d153a,892fc06e893f91c248515eeaff7ec522b0b0ae7aeddc76e3cd4a0a970c6b3acc,d76910ebb10b62fe53d34e01a200cd8e9498388a9dd5103e7d22477a9c8a8fa6,871b1c0321ac2d2c5147463b935b07d53a89da1dd5f34f0cafa970fe82dacde6,f3d6161df54ea28af79babf9408e9c887c603baebdaed07c080393dbec1faa6e
Rastrigin,2,777,wrong,wrong_Rastrigin_2_777,wrong_Rastrigin_2_777::region_0,"[0.359933776895652, 1.0120608425802804]","[0.42949265280792837, 0.8002631867346877]","[-0.42949265280792837, -0.8002631867346877]","[0.359933776895652, 1.0120608425802804]",0.5442566683681571,0.4096,0.007650577270830435,0.627141147141952,0.0047979918059267435,78,26,0.4546285404433731,0.2202062829022659,0.5720281862745098,0.9738292044259981,0.9235291220033364,0.0,bb48864f5f0eba852ac30ea7708a6805eac770fa4b23545521f3c3ffbd3d153a,892fc06e893f91c248515eeaff7ec522b0b0ae7aeddc76e3cd4a0a970c6b3acc,d76910ebb10b62fe53d34e01a200cd8e9498388a9dd5103e7d22477a9c8a8fa6,871b1c0321ac2d2c5147463b935b07d53a89da1dd5f34f0cafa970fe82dacde6,f3d6161df54ea28af79babf9408e9c887c603baebdaed07c080393dbec1faa6e
Rastrigin,2,777,reversed,matching_Rastrigin_2_777,matching_Rastrigin_2_777::region_0,"[0.10664547820753625, -0.3370143795198237]","[-0.34422012524780493, -0.4444428045733176]","[-0.42949265280792837, -0.8002631867346877]","[0.10664547820753625, -0.3370143795198237]",1.1315612693739452,0.4096,0.07416783872480076,0.5080822187772682,0.03768336006121137,80,32,0.1540045867616683,-0.5238803437357644,0.31376574037194765,0.9848036258157664,0.9575220274795384,0.0,bb48864f5f0eba852ac30ea7708a6805eac770fa4b23545521f3c3ffbd3d153a,892fc06e893f91c248515eeaff7ec522b0b0ae7aeddc76e3cd4a0a970c6b3acc,d76910ebb10b62fe53d34e01a200cd8e9498388a9dd5103e7d22477a9c8a8fa6,871b1c0321ac2d2c5147463b935b07d53a89da1dd5f34f0cafa970fe82dacde6,f3d6161df54ea28af79babf9408e9c887c603baebdaed07c080393dbec1faa6e
