problem,dim,seed,method,step,best_y,selected_y,known_optimum_y,normalized_regret,raw_pool_hash,proposal_hash
GMM,2,42,Local-Rank+Reliability,3,-0.5061227538232028,-0.4781654790058174,-1.0001911515148465,0.8192055832129025,307848844fc093923c6b9ea483c0d0a56afb9f0918bfeac4d76471409ed5043e,9a679a1e6e41a9ec906bb563b38de48e6cc6f31a1eb16eb6912f97fbdbf8eca6
GMM,2,42,Local-Rank+Reliability,4,-0.5061227538232028,-0.11651443230745827,-1.0001911515148465,0.8192055832129025,544b85a7f3de00e002b2c19897518e2b5d7f39abe9f308af3e368ee165ed27d5,4b31d3dfc50fea20a369482a37073625c4e25c0d3eca3ef2982a2c672bb141c7
GMM,2,42,Local-Rank+Reliability,5,-0.5372780926594455,-0.5372780926594455,-1.0001911515148465,0.7675474977316512,8bca5bed70101639d4cef1ee50f608cee3d39c0d9994b4f75bec78907ae8096d,056c367babd712f44c0628b3a40b23f0252db9355d31d2754572926475b83db8
GMM,2,101,Target-Only,0,-0.3573922175677191,,-1.0001911515148465,1.0,,
GMM,2,101,Target-Only,1,-0.4775765485442462,-0.4775765485442462,-1.0001911515148465,0.8130296666198069,e8f153f1ce7776e7a7bdce747676d5f0727ea8326690b8535ab374c8ecd46ce4,8958679e785daf19f29870da45b64009f97c9b12775b937f6f7a6cdfef9db29d
GMM,2,101,Target-Only,2,-0.4775765485442462,-0.2747194351671811,-1.0001911515148465,0.8130296666198069,947413f064431a8791a34f89f245ddc3d07c1a82e3b1ba8d2015b8c61ca8e884,6b16ca7339717b6a2f4b491807e862ac81a5153e7ae700bf20ab168b600370b1
GMM,2,101,Target-Only,3,-0.4775765485442462,-0.15175935159212262,-1.0001911515148465,0.8130296666198069,948c7fe9dae17c55201b84f2f01354c29cab4c648a3aae2dc0f69512f6fc7a5a,e329a22f6c4d0a68472125a6aa3f37b3280b4f8fed1a91a92a41f7a3b36ff171
GMM,2,101,Target-Only,4,-0.4775765485442462,-0.2091803302472378,-1.0001911515148465,0.8130296666198069,650423a2ab815d551c24845c4303c334453ce76cc7bbdc0073a2abc66d67585a,4b796eacb2cd5406c1193daab4818615f12a01dd10bcbfea8ad9796adb8a45cc
GMM,2,101,Target-Only,5,-0.4775765485442462,-0.40979608292713715,-1.0001911515148465,0.8130296666198069,29a25064c2f25611b24504e27418a59fab64632747802db3a292e5bf1ab4b612,f43f5056a1ad7c4c763390fbd18de56542f2c05246ce0dd84c8c023a3e263c15
GMM,2,101,Geometry-Only,0,-0.3573922175677191,,-1.0001911515148465,1.0,,
GMM,2,101,Geometry-Only,1,-0.4775765485442462,-0.4775765485442462,-1.0001911515148465,0.8130296666198069,e8f153f1ce7776e7a7bdce747676d5f0727ea8326690b8535ab374c8ecd46ce4,8958679e785daf19f29870da45b64009f97c9b12775b937f6f7a6cdfef9db29d
GMM,2,101,Geometry-Only,2,-0.5290423681458288,-0.5290423681458288,-1.0001911515148465,0.732964475338989,947413f064431a8791a34f89f245ddc3d07c1a82e3b1ba8d2015b8c61ca8e884,6b16ca7339717b6a2f4b491807e862ac81a5153e7ae700bf20ab168b600370b1
GMM,2,101,Geometry-Only,3,-0.6730645248964106,-0.6730645248964106,-1.0001911515148465,0.508909721753433,948c7fe9dae17c55201b84f2f01354c29cab4c648a3aae2dc0f69512f6fc7a5a,2ae935bfb5ff45c8a44598ed6cc21252404636367309778215078bb612e07f98
GMM,2,101,Geometry-Only,4,-0.7835505420262665,-0.7835505420262665,-1.0001911515148465,0.3370270204996941,650423a2ab815d551c24845c4303c334453ce76cc7bbdc0073a2abc66d67585a,413f43bf088fb10b4d6081bc94e5bb60b57d42fa193b246048cbbcff5e914f84
GMM,2,101,Geometry-Only,5,-0.7835505420262665,-0.3845455545220935,-1.0001911515148465,0.3370270204996941,29a25064c2f25611b24504e27418a59fab64632747802db3a292e5bf1ab4b612,1d66b1659199a72dcada0fd277c4ec0937a9ba18ff8797cf3ce0b3f48641e1f6
GMM,2,101,Local-Rank-No-Reliability,0,-0.3573922175677191,,-1.0001911515148465,1.0,,
GMM,2,101,Local-Rank-No-Reliability,1,-0.4775765485442462,-0.4775765485442462,-1.0001911515148465,0.8130296666198069,e8f153f1ce7776e7a7bdce747676d5f0727ea8326690b8535ab374c8ecd46ce4,8958679e785daf19f29870da45b64009f97c9b12775b937f6f7a6cdfef9db29d
GMM,2,101,Local-Rank-No-Reliability,2,-0.5290423681458288,-0.5290423681458288,-1.0001911515148465,0.732964475338989,947413f064431a8791a34f89f245ddc3d07c1a82e3b1ba8d2015b8c61ca8e884,6b16ca7339717b6a2f4b491807e862ac81a5153e7ae700bf20ab168b600370b1
GMM,2,101,Local-Rank-No-Reliability,3,-0.6730645248964106,-0.6730645248964106,-1.0001911515148465,0.508909721753433,948c7fe9dae17c55201b84f2f01354c29cab4c648a3aae2dc0f69512f6fc7a5a,2ae935bfb5ff45c8a44598ed6cc21252404636367309778215078bb612e07f98
