problem,dim,seed,method,mode,selected_index,selected_x,selected_y,truth_min,truth_q90,raw_regret,normalized_regret,top10_hit,true_rank,acquisition_rank,source_score,normalized_source_score,normalized_target_score,combined_score,target_top1_retained,best_region_id,fallback,fallback_reason,raw_pool_size,proposal_size,candidate_count,pool_duplicate_count,target_source_overlap_count,raw_pool_hash,proposal_hash,truth_hash,source_library_hash
Ackley,2,42,Target-Only,target_only,0,"[-1.356040824572149, 2.2701412160978895]",8.110839390550293,6.1127534068475065,11.507358826651187,1.9980859837027865,0.3703859371007529,False,14,0,0.0,0.0,1.0,1.0,True,,False,,300,40,40,0,0,faa0f2e0867f088b9243b67f390516760a91f020e2f97c4900e15e8730cc9150,95768cfff1429e8455c2fcb0d54c616dff0956151a26e971208651bd28c9e83c,c5742c9f50407c7ce11638edc82e7ea1a76352bfd87d2e260c88faa48fc062b9,7e5e3b01ad85b757b70285386b1baf2c7b952ba782c050095d1e298f4ab4da20
Ackley,2,42,Geometry-Only,geometry_only,11,"[-1.7545149848807373, 1.846576285956278]",7.043010277891023,6.1127534068475065,11.507358826651187,0.9302568710435164,0.17244205991943898,True,3,11,0.22106651397208427,0.9487179487179487,0.717948717948718,1.6666666666666665,True,matching_Ackley_2_42::region_0,False,,300,40,40,0,0,faa0f2e0867f088b9243b67f390516760a91f020e2f97c4900e15e8730cc9150,95768cfff1429e8455c2fcb0d54c616dff0956151a26e971208651bd28c9e83c,c5742c9f50407c7ce11638edc82e7ea1a76352bfd87d2e260c88faa48fc062b9,7e5e3b01ad85b757b70285386b1baf2c7b952ba782c050095d1e298f4ab4da20
Ackley,2,42,Local-Rank-No-Reliability,local_rank_no_reliability,11,"[-1.7545149848807373, 1.846576285956278]",7.043010277891023,6.1127534068475065,11.507358826651187,0.9302568710435164,0.17244205991943898,True,3,11,0.1690003054446051,0.9487179487179487,0.717948717948718,1.6666666666666665,True,matching_Ackley_2_42::region_0,False,,300,40,40,0,0,faa0f2e0867f088b9243b67f390516760a91f020e2f97c4900e15e8730cc9150,95768cfff1429e8455c2fcb0d54c616dff0956151a26e971208651bd28c9e83c,c5742c9f50407c7ce11638edc82e7ea1a76352bfd87d2e260c88faa48fc062b9,7e5e3b01ad85b757b70285386b1baf2c7b952ba782c050095d1e298f4ab4da20
Ackley,2,42,Local-Rank+Reliability,local_rank_reliability,11,"[-1.7545149848807373, 1.846576285956278]",7.043010277891023,6.1127534068475065,11.507358826651187,0.9302568710435164,0.17244205991943898,True,3,11,0.10157227678609917,0.9487179487179487,0.717948717948718,1.6666666666666665,True,matching_Ackley_2_42::region_0,False,,300,40,40,0,0,faa0f2e0867f088b9243b67f390516760a91f020e2f97c4900e15e8730cc9150,95768cfff1429e8455c2fcb0d54c616dff0956151a26e971208651bd28c9e83c,c5742c9f50407c7ce11638edc82e7ea1a76352bfd87d2e260c88faa48fc062b9,7e5e3b01ad85b757b70285386b1baf2c7b952ba782c050095d1e298f4ab4da20
Ackley,2,42,Reversed-Local-Rank,reversed_local_rank,11,"[-1.7545149848807373, 1.846576285956278]",7.043010277891023,6.1127534068475065,11.507358826651187,0.9302568710435164,0.17244205991943898,True,3,11,0.04457924640116343,0.9487179487179487,0.717948717948718,1.6666666666666665,True,matching_Ackley_2_42::region_0,False,,300,40,40,0,0,faa0f2e0867f088b9243b67f390516760a91f020e2f97c4900e15e8730cc9150,95768cfff1429e8455c2fcb0d54c616dff0956151a26e971208651bd28c9e83c,c5742c9f50407c7ce11638edc82e7ea1a76352bfd87d2e260c88faa48fc062b9,7e5e3b01ad85b757b70285386b1baf2c7b952ba782c050095d1e298f4ab4da20
Ackley,2,101,Target-Only,target_only,0,"[1.3879554443748567, 4.605007109254748]",10.609996505438751,2.909947693135632,10.327587416230005,7.70004881230312,1.0380726349285316,False,37,0,0.0,0.0,1.0,1.0,True,,False,,300,40,40,0,0,5c2a22057283178ce0d8c8f374470354531dca8a189e598a9276e483860c6be5,10fbf233f0b60c220d126df1e86cfe8566f26440d4254089466af1b8ef6d0b26,b72ed4ac16b70f7aba6c0a2291e3898e28c19265708131d709e68f23dda6546b,ed5b995b59e6a23e7d4decad1df070d2e5f997fc1d45ed5426277a14498a1a36
Ackley,2,101,Geometry-Only,geometry_only,4,"[0.6336254975327318, 2.145912496362662]",4.2950349571640345,2.909947693135632,10.327587416230005,1.3850872640284027,0.1867288404040462,True,3,4,0.4619649103069075,0.7948717948717948,0.8974358974358975,1.6923076923076923,True,matching_Ackley_2_101::region_0,False,,300,40,40,0,0,5c2a22057283178ce0d8c8f374470354531dca8a189e598a9276e483860c6be5,10fbf233f0b60c220d126df1e86cfe8566f26440d4254089466af1b8ef6d0b26,b72ed4ac16b70f7aba6c0a2291e3898e28c19265708131d709e68f23dda6546b,ed5b995b59e6a23e7d4decad1df070d2e5f997fc1d45ed5426277a14498a1a36
Ackley,2,101,Local-Rank-No-Reliability,local_rank_no_reliability,4,"[0.6336254975327318, 2.145912496362662]",4.2950349571640345,2.909947693135632,10.327587416230005,1.3850872640284027,0.1867288404040462,True,3,4,0.3843639959085709,0.7948717948717948,0.8974358974358975,1.6923076923076923,True,matching_Ackley_2_101::region_0,False,,300,40,40,0,0,5c2a22057283178ce0d8c8f374470354531dca8a189e598a9276e483860c6be5,10fbf233f0b60c220d126df1e86cfe8566f26440d4254089466af1b8ef6d0b26,b72ed4ac16b70f7aba6c0a2291e3898e28c19265708131d709e68f23dda6546b,ed5b995b59e6a23e7d4decad1df070d2e5f997fc1d45ed5426277a14498a1a36
Ackley,2,101,Local-Rank+Reliability,local_rank_reliability,4,"[0.6336254975327318, 2.145912496362662]",4.2950349571640345,2.909947693135632,10.327587416230005,1.3850872640284027,0.1867288404040462,True,3,4,0.33306359414249614,0.7948717948717948,0.8974358974358975,1.6923076923076923,True,matching_Ackley_2_101::region_0,False,,300,40,40,0,0,5c2a22057283178ce0d8c8f374470354531dca8a189e598a9276e483860c6be5,10fbf233f0b60c220d126df1e86cfe8566f26440d4254089466af1b8ef6d0b26,b72ed4ac16b70f7aba6c0a2291e3898e28c19265708131d709e68f23dda6546b,ed5b995b59e6a23e7d4decad1df070d2e5f997fc1d45ed5426277a14498a1a36
Ackley,2,101,Reversed-Local-Rank,reversed_local_rank,2,"[0.7239389486171754, 2.4518218944379413]",5.54285149745057,2.909947693135632,10.327587416230005,2.6329038043149384,0.35495169657776066,False,10,2,0.08505324508157086,0.8205128205128205,0.9487179487179487,1.7692307692307692,True,matching_Ackley_2_101::region_0,False,,300,40,40,0,0,5c2a22057283178ce0d8c8f374470354531dca8a189e598a9276e483860c6be5,10fbf233f0b60c220d126df1e86cfe8566f26440d4254089466af1b8ef6d0b26,b72ed4ac16b70f7aba6c0a2291e3898e28c19265708131d709e68f23dda6546b,ed5b995b59e6a23e7d4decad1df070d2e5f997fc1d45ed5426277a14498a1a36
