problem,dim,seed,source_data_hash,source_library_hash,source_structure_count,task_id,region_id,center,covariance,region_quality,core_count,context_count,bic,model_type,oof_spearman,oof_ndcg,oof_precision_at_top,geometry_spearman,geometry_ndcg,reliability,boundary_fraction
GMM,2,42,ad901235094686f633f81faecadccbd09320a4e5bdf81ca96cd77dbbac53480a,7b0e66f3e93284b196ecaadc05bc67b7f8e4ce6a0df6d312afe3fee24082a092,2,matching_GMM_2_42,matching_GMM_2_42::region_0,"[-0.2452233529306495, 1.5108904062639381]","[[4.474086262624447, -1.189043244043582], [-1.189043244043582, 0.6179112889017714]]",0.8908227848101267,8,24,149.18951295368615,gp,0.47391304347826085,0.7568252272670131,0.3333333333333333,0.5226086956521738,0.6277751828775159,0.3586693468352366,0.6666666666666667
GMM,2,42,ad901235094686f633f81faecadccbd09320a4e5bdf81ca96cd77dbbac53480a,7b0e66f3e93284b196ecaadc05bc67b7f8e4ce6a0df6d312afe3fee24082a092,2,matching_GMM_2_42,matching_GMM_2_42::region_1,"[-0.5846193572269137, -2.404485758260334]","[[4.64321480403547, -0.612402082511603], [-0.612402082511603, 0.4060806848670456]]",0.9193037974683544,8,24,149.18951295368615,gp,0.7113043478260868,0.7520054766010282,0.6666666666666666,0.6139130434782608,0.8277686057676905,0.5349047650953399,0.6666666666666667
GMM,2,101,55c282fb46b57550fb7f34f20560f2bb4638812d57ed37b4ed86e17fc0ab9ce4,302150ed55d370cde71fc1f4454135b572f48795a92885c3196c8957dd07b50d,3,matching_GMM_2_101,matching_GMM_2_101::region_0,"[0.2957290779710063, 1.61880898064382]","[[2.2720294230225733, -1.0903035851636425], [-1.0903035851636425, 0.5334884841584667]]",0.9145569620253164,4,16,138.13440974553814,gp,0.30882352941176466,0.5932173879994131,0.0,0.3970588235294118,0.9009047999526395,0.18319948747040699,0.75
GMM,2,101,55c282fb46b57550fb7f34f20560f2bb4638812d57ed37b4ed86e17fc0ab9ce4,302150ed55d370cde71fc1f4454135b572f48795a92885c3196c8957dd07b50d,3,matching_GMM_2_101,matching_GMM_2_101::region_1,"[-2.2456649612054096, -2.344922379016695]","[[0.5786056555649787, -0.10115594719717717], [-0.10115594719717717, 0.5918320012239474]]",0.9098101265822784,8,24,138.13440974553814,gp,0.9252173913043478,0.9712560848519245,1.0,0.7921739130434783,0.9750762232759024,0.8986230211151718,0.6666666666666667
GMM,2,101,55c282fb46b57550fb7f34f20560f2bb4638812d57ed37b4ed86e17fc0ab9ce4,302150ed55d370cde71fc1f4454135b572f48795a92885c3196c8957dd07b50d,3,matching_GMM_2_101,matching_GMM_2_101::region_2,"[2.5330533399036166, -1.810454617062338]","[[0.5154577083846473, -0.5675308576371231], [-0.5675308576371231, 1.878525725392357]]",0.8860759493670887,4,16,138.13440974553814,gp,0.27058823529411763,0.4908999828658161,0.0,0.538235294117647,0.5812473052571698,0.13283176006957376,0.75
Ackley,2,42,e20059cf1d5048db7d4e1ff2ba2d1c1fc55df9949397dfb9ed3b0138dc14d286,7e5e3b01ad85b757b70285386b1baf2c7b952ba782c050095d1e298f4ab4da20,3,matching_Ackley_2_42,matching_Ackley_2_42::region_0,"[-0.274362510907052, 1.4016003882473764]","[[1.1467433028233505, -0.19750208533300906], [-0.19750208533300906, 0.07389194110563874]]",0.9037974683544304,5,16,117.06064806622905,gp,0.5705882352941177,0.8202489554819059,0.0,0.6529411764705881,0.7586369702217306,0.468024404010264,0.6875
Ackley,2,42,e20059cf1d5048db7d4e1ff2ba2d1c1fc55df9949397dfb9ed3b0138dc14d286,7e5e3b01ad85b757b70285386b1baf2c7b952ba782c050095d1e298f4ab4da20,3,matching_Ackley_2_42,matching_Ackley_2_42::region_1,"[-1.9566010659698356, -1.1713043031702324]","[[0.2475133857851092, -0.07816550157947258], [-0.07816550157947258, 0.5806408651157435]]",0.9168173598553346,7,21,117.06064806622905,gp,0.7246753246753247,0.7620160865637058,0.3333333333333333,0.5324675324675324,0.6719834495088575,0.5522142549383738,0.6666666666666667
Ackley,2,42,e20059cf1d5048db7d4e1ff2ba2d1c1fc55df9949397dfb9ed3b0138dc14d286,7e5e3b01ad85b757b70285386b1baf2c7b952ba782c050095d1e298f4ab4da20,3,matching_Ackley_2_42,matching_Ackley_2_42::region_2,"[1.2602791708541903, -0.6536202519249465]","[[0.05820560401006709, 0.20300976323248537], [0.20300976323248537, 0.8347656385707566]]",0.8860759493670886,4,16,117.06064806622905,gp,0.4558823529411765,0.7024639376953113,0.0,0.538235294117647,0.9788218677989684,0.32024091277286254,0.75
Ackley,2,101,98f5854edb5e9676013861df6816ef60faa23dcf27e3268c9c51b3f3a8a5eddd,ed5b995b59e6a23e7d4decad1df070d2e5f997fc1d45ed5426277a14498a1a36,1,matching_Ackley_2_101,matching_Ackley_2_101::region_0,"[0.08975453480224634, 0.9955660426996178]","[[1.9242371221619556, -0.5378886831414769], [-0.5378886831414769, 1.5741548142808588]]",0.9050632911392406,16,48,120.79850486023119,gp,0.8488927485887973,0.9683700249844276,0.8,0.8338037342596614,0.9708035339730284,0.822042292160033,0.6666666666666667
