dim,seed,sample_size,noise_level,method,basin_recall,mean_matched_mahalanobis,median_matched_mahalanobis,normalized_center_error,normalized_shape_error,extracted_count,oracle_count
2,42,100,0.0,Proposed-Local-Structure,0.6666666666666666,1.1467497312571884,1.1467497312571884,0.06597231212301757,0.28943596208876254,2,3
2,42,100,0.0,Top-Observations,0.3333333333333333,4.053281079626608,4.342668408515913,0.2627162848381652,0.11974925360020894,3,3
2,42,100,0.0,Random-Centers,0.6666666666666666,5.020688236245482,2.328568546242267,0.26755375609987353,0.1195915078691281,3,3
2,42,100,0.02,Proposed-Local-Structure,0.6666666666666666,1.1467497312571884,1.1467497312571884,0.06597231212301757,0.28943596208876254,2,3
2,42,100,0.02,Top-Observations,0.3333333333333333,4.053281079626608,4.342668408515913,0.2627162848381652,0.11974925360020894,3,3
2,42,100,0.02,Random-Centers,0.3333333333333333,3.8240464323213312,3.5990020451602978,0.18108772852376093,0.1195915078691281,3,3
2,42,100,0.05,Proposed-Local-Structure,0.6666666666666666,1.032267715618214,1.032267715618214,0.06428789078708286,0.34321155785205837,2,3
2,42,100,0.05,Top-Observations,0.3333333333333333,4.053281079626608,4.342668408515913,0.2627162848381652,0.11974925360020894,3,3
2,42,100,0.05,Random-Centers,0.3333333333333333,2.738144650726549,3.1520089936199565,0.166302427880434,0.1195915078691281,3,3
2,42,250,0.0,Proposed-Local-Structure,1.0,0.27002729607561377,0.24177727873210877,0.01760421803186723,0.11723568231969872,3,3
2,42,250,0.0,Top-Observations,0.3333333333333333,4.044154459395489,4.2720209458464335,0.26283994650311354,0.1196654856190852,3,3
2,42,250,0.0,Random-Centers,0.3333333333333333,3.733551669111414,4.120364485810529,0.2263739935165614,0.1195915078691281,3,3
2,42,250,0.02,Proposed-Local-Structure,1.0,0.1764640456632617,0.13998025431788857,0.011656837257160645,0.17562936914820915,3,3
2,42,250,0.02,Top-Observations,0.3333333333333333,4.044154459395489,4.2720209458464335,0.26283994650311354,0.1196654856190852,3,3
2,42,250,0.02,Random-Centers,0.3333333333333333,4.246117155734996,3.6876739303258894,0.23554820767552803,0.1195915078691281,3,3
2,42,250,0.05,Proposed-Local-Structure,1.0,0.22221608242802304,0.2549247054817905,0.013798839088278732,0.12864061494722986,3,3
2,42,250,0.05,Top-Observations,0.6666666666666666,2.744090274411525,0.6489359772275578,0.17542831833640335,0.1196654856190852,3,3
2,42,250,0.05,Random-Centers,0.3333333333333333,3.753191592979185,4.780552871241647,0.2398024814846801,0.1195915078691281,3,3
2,42,500,0.0,Proposed-Local-Structure,1.0,0.21332225853408737,0.18278796601983072,0.014258634317331176,0.04772119321624294,3,3
2,42,500,0.0,Top-Observations,0.6666666666666666,2.5873155921391255,0.57683371086117,0.1613403461416163,0.11955504604909623,3,3
