relation,target_context_size,instances,acceptance_coverage,intention_to_use_negative_transfer_rate,mean_srmse_delta,mean_context_cv_gain,mean_context_pairwise,accepted_instances,accepted_negative_transfer_risk,accepted_mean_srmse_delta
matching,6,64,0.21875,0.078125,0.0008345658294296346,-0.09212928112336924,0.5656994047619047,14,0.35714285714285715,0.0038151580773926152
matching,12,64,0.234375,0.046875,-0.012892244091706544,-0.0012110654397465613,0.5636256283544886,15,0.2,-0.05500690812461459
matching,20,64,0.375,0.03125,-0.006726391947710147,0.0101781904609699,0.5666961435861088,24,0.08333333333333333,-0.017937045193893726
reversed,6,64,0.015625,0.0,-0.0003399572170871437,-0.11585745335424774,0.4343005952380952,1,0.0,-0.0217572618935772
reversed,12,64,0.046875,0.03125,0.0009596788599971265,-0.024648460203137955,0.43637437164551135,3,0.6666666666666666,0.020473149013272032
reversed,20,64,0.03125,0.015625,9.34498029160203e-05,-0.014091904702417843,0.43330385641389124,2,0.5,0.0029903936933126495
wrong,6,64,0.234375,0.078125,-0.019256522018899675,-0.02568401634444798,0.5787698412698412,15,0.3333333333333333,-0.08216116061397195
wrong,12,64,0.421875,0.0625,-0.02051655263295648,0.03399265459936262,0.6012714766850796,27,0.14814814814814814,-0.048631828463304244
wrong,20,64,0.359375,0.015625,-0.016304968300813613,0.04094282036789452,0.5986325089036824,23,0.043478260869565216,-0.04537034657617701
