problem,dim,seed,scenario,policy,step,best_y,normalized_regret,mode,selected_target_rank,selected_region_index,excess_improvement_residual,global_compatibility_trust,trusted_regions,rejected_regions,uncertain_regions
GMM,2,42,matching,target_only,1,-0.12722582054929782,1.0,target,0,,-0.24471466935372932,0.3561224489795638,0,0,9
GMM,2,42,matching,target_only,2,-0.12722582054929782,1.0,target,0,,-0.09171230808990662,0.3722222222221955,0,0,9
GMM,2,42,matching,target_only,3,-0.12722582054929782,1.0,target,0,,-0.0768581933731168,0.40309523809521147,0,0,9
GMM,2,42,matching,target_only,4,-0.12722582054929782,1.0,target,0,,-0.08071413199050939,0.42790775401066883,0,0,9
GMM,2,42,matching,target_only,5,-0.2308536016566932,0.8812922146715984,target,0,,1.733509399917718,0.4317620650953735,0,0,9
GMM,2,42,matching,target_only,6,-0.2308536016566932,0.8812922146715984,target,0,,-0.05678084597376478,0.45313765182183774,0,0,9
GMM,2,42,matching,target_only,7,-0.2308536016566932,0.8812922146715984,target,0,,-0.0659379260927848,0.4691308691308451,0,0,9
GMM,2,42,matching,target_only,8,-0.28515723943548626,0.8190862646154488,target,0,,0.8469010626432607,0.4783390022675505,0,0,9
GMM,2,42,matching,fixed,1,-0.12722582054929782,1.0,fixed,2,7.0,-0.2433612427748649,0.3561224489795638,0,0,9
GMM,2,42,matching,fixed,2,-0.12722582054929782,1.0,fixed,1,3.0,-0.09086496218326263,0.3555555555555299,0,0,9
GMM,2,42,matching,fixed,3,-0.3123486327137982,0.7879379562991989,fixed,4,3.0,3.37321752761144,0.39119047619045033,0,0,9
GMM,2,42,matching,fixed,4,-0.7541882662548924,0.2818014376216534,fixed,5,7.0,8.065281221542653,0.16099598930480222,3,0,6
GMM,2,42,matching,fixed,5,-0.7541882662548924,0.2818014376216534,fixed,7,6.0,-0.18901045339035022,0.21777029554806032,3,0,6
GMM,2,42,matching,fixed,6,-0.7541882662548924,0.2818014376216534,fixed,3,0.0,-0.3967817247481757,0.28669028340079394,3,0,6
