seed,relation,control,relation_or_control,condition,shell,method,baseline,metric,baseline_value,method_value,delta,delta_mean,ci_low,ci_high,seed_win_rate,n_seeds
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,geometry,target_only,pairwise_accuracy,0.859375,0.8644192913385826,0.0050442913385826404,0.009596456692913397,-0.02264202448326776,0.05046021468996065,0.5,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,geometry,target_only,ndcg_at_top,0.9279942052699574,0.8912542441581371,-0.03673996111182021,0.08032232563256796,0.0028145586640847178,0.20442206620796027,0.75,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,geometry,target_only,normalized_top1_regret,0.008472665198335,0.0604826996597621,-0.0520100344614271,0.14576154629510443,0.007140351732160863,0.3637842102326265,0.5,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,geometry,target_only,standardized_rmse,0.5840298250022368,0.650495393599426,-0.06646556859718922,0.0455953221981483,-0.02686276658567218,0.12842635768550886,0.625,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,geometry,target_only,spearman,0.8963502563633032,0.9038809284013916,0.007530672038088326,0.023607741256180183,-0.06241580926112433,0.1394928241164621,0.5,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,geometry,target_only,precision_at_top,0.4615384615384615,0.4615384615384615,0.0,0.08653846153846154,0.009374999999999967,0.17307692307692307,0.625,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,geometry,target_only,mean_negative_log_likelihood,-2.2203579716664863,-2.089344002813716,0.13101396885277028,0.3604770428204325,-0.039951773423117606,0.8453536594757799,0.625,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,geometry,target_only,interval_coverage_95,1.0,0.78125,-0.21875,-0.228515625,-0.3213134765625,-0.13669433593750013,0.0,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,rank,target_only,pairwise_accuracy,0.859375,0.8330462598425197,-0.026328740157480324,-0.05951648622047244,-0.11375338336614173,-0.011422705462598538,0.125,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,rank,target_only,ndcg_at_top,0.9279942052699574,0.938530198971288,0.010535993701330626,0.028428869304728627,-0.06065795255975082,0.13928350716822951,0.375,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,rank,target_only,normalized_top1_regret,0.008472665198335,0.0,0.008472665198335,0.06549007283565543,-0.07863502367714208,0.275112628707566,0.25,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,rank,target_only,standardized_rmse,0.5840298250022368,0.7261754018866058,-0.14214557688436902,-0.6471171485381092,-1.2936444337835293,-0.0756312748956954,0.0,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,rank,target_only,spearman,0.8963502563633032,0.8522077000549351,-0.044142556308368164,-0.12677394250137333,-0.24548216901666356,-0.023701266652170067,0.0,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,rank,target_only,precision_at_top,0.4615384615384615,0.4615384615384615,0.0,0.028846153846153855,-0.10576923076923075,0.15384615384615385,0.25,8
