problem,dim,seed,method,step,best_y,selected_y,known_optimum_y,normalized_regret,raw_pool_hash,proposal_hash
Lunacek,2,42,Geometry-Only,2,10.107676724756756,37.432024232466745,0.0,1.0,b4db2b92cd1e6676afff791e7bea84ed01faf9236aa1504c7c94d899a36d70b0,712fe4b24ab5116cb22963404dd8e7bbd5c38fc317271163bd4da2e2d5ee4010
Lunacek,2,42,Geometry-Only,3,10.107676724756756,25.357288230107628,0.0,1.0,78441c73fc257e403860fa01f47c75d53f42fa6d9193bc7cf704c66404be425e,ccac570cc40c413380a2f2a876c308c515cded07295364109043d76c10e1d84e
Lunacek,2,42,Geometry-Only,4,10.107676724756756,17.70724793698715,0.0,1.0,0ce9a858f782b20498aa7c8902b07200ac6896857d956c3c2c2442f0750bc7ea,7f218d81a8c2b5453393d5bebe9538d78b7abf80f8f71cd83af8ee3d204f845a
Lunacek,2,42,Geometry-Only,5,10.107676724756756,24.648151598956044,0.0,1.0,8aaab8509aed43bc1fbc17cd742ca184a7e029c9ca88169bb6fc817e89d96e73,bf6cd79d67f2eb5edf3c7368e1db42b5559824c5684c363933e21427cd2383f3
Lunacek,2,42,Geometry-Only,6,5.420897147760189,5.420897147760189,0.0,0.536314852104715,115641aae12a0629cf38e879abef870574f8adb4d269f58f92206e7686fcab58,54a808f24ff2e476352fa521dcbca1040a140d3ca78ee734380cb607d8eb33ba
Lunacek,2,42,Geometry-Only,7,5.420897147760189,9.636210436774217,0.0,0.536314852104715,f9b599e2dfaca2f361c07686631412f4186831013e4055873be32022d2e278a2,6bb5cb4c566fedfa4df225c6fcf40a41e30d1f0142904e6b8ca487468300024a
Lunacek,2,42,Geometry-Only,8,5.420897147760189,15.940052654334396,0.0,0.536314852104715,a83c533e6fb62e56c3625ea6209830907299c1063d3cd584c28d9eca66977b86,be3b1d9cbd43aa82595d7c7bad19f94e602f2d3a49f5e6eb5a82ba863ce8ebcd
Lunacek,2,42,Geometry-Only,9,5.420897147760189,10.41126235754455,0.0,0.536314852104715,6183aaa451d5bc80a775d06765d97013c28e79d9f90924f7537dc0628f2114c0,047e3210cbb4abe99b77e1a89998136b9d94932f7e19d9e9b564ce56a66a563e
Lunacek,2,42,Geometry-Only,10,5.420897147760189,41.05229475253404,0.0,0.536314852104715,44826d90ff1ee483b92416f0a928e3a7d9e349e4d0aac2e9507f0bc5def56d3d,07fb9b06d22fbec9280d0f6bf646b280683982cb15a4c4622d5df5b0e482f4ab
Lunacek,2,42,Geometry-Only,11,5.420897147760189,16.239642109388722,0.0,0.536314852104715,1477450ba771acbbd0f14cd94a072707439b92ffac614b47258e230580760674,6d89c5ca1a5b794fd2dafe4a9aaddeb7fb1bf3e60b627540f807c993e83517ca
Lunacek,2,42,Geometry-Only,12,5.420897147760189,23.517278496969222,0.0,0.536314852104715,4403cbe5ae37a0ba8d1827ebf458f5b1c7c68e2b5182592b3d4845306130ea6e,4fbf3fca75383ef876cf1f66352184b0ed90d559cdf19d6b6b0a4b1dbb4fa996
