problem,dim,seed,method,initial_best_y,final_best_y,known_optimum_y,final_normalized_regret,auc_normalized_regret,total_improvement,trace_points
GMM,2,42,Target-Only,-0.39708442492990237,-0.9957073029412875,-1.0001911515148465,0.007434585581474967,7.040633913080269,0.5986228780113851,21
GMM,2,42,Geometry-Only,-0.39708442492990237,-0.998836227194424,-1.0001911515148465,0.0022465747117341563,2.427211438329175,0.6017518022645216,21
GMM,2,42,Local-Rank-No-Reliability,-0.39708442492990237,-0.9957073029412875,-1.0001911515148465,0.007434585581474967,3.0458913083141317,0.5986228780113851,21
GMM,2,42,Local-Rank+Reliability,-0.39708442492990237,-0.9957073029412875,-1.0001911515148465,0.007434585581474967,3.0458913083141317,0.5986228780113851,21
GMM,2,101,Target-Only,-0.3573922175677191,-0.7981775657373232,-1.0001911515148465,0.31427181208446064,10.18830830689414,0.44078534816960413,21
GMM,2,101,Geometry-Only,-0.3573922175677191,-0.9973819225347985,-1.0001911515148465,0.004370307465816447,4.7556933681040485,0.6399897049670794,21
GMM,2,101,Local-Rank-No-Reliability,-0.3573922175677191,-0.9886775590694086,-1.0001911515148465,0.01791165454295069,7.388499033177081,0.6312853415016895,21
GMM,2,101,Local-Rank+Reliability,-0.3573922175677191,-0.9886775590694086,-1.0001911515148465,0.01791165454295069,7.388499033177081,0.6312853415016895,21
GMM,2,2026,Target-Only,-0.24301790076342059,-0.7943568818742516,-1.0001911515148465,0.2718456699788629,12.022607499559262,0.551338981110831,21
GMM,2,2026,Geometry-Only,-0.24301790076342059,-0.5719697571776675,-1.0001911515148465,0.565552723781787,14.98960139928864,0.32895185641424696,21
GMM,2,2026,Local-Rank-No-Reliability,-0.24301790076342059,-0.7996479716630789,-1.0001911515148465,0.26485771869614605,7.146504966337706,0.5566300708996583,21
GMM,2,2026,Local-Rank+Reliability,-0.24301790076342059,-0.7996479716630789,-1.0001911515148465,0.26485771869614605,7.146504966337706,0.5566300708996583,21
GMM,2,777,Target-Only,-0.7228031416625589,-0.9920349999120694,-1.0001911515148465,0.029403403583018232,5.239968004991791,0.26923185824951057,21
GMM,2,777,Geometry-Only,-0.7228031416625589,-0.9984301010432616,-1.0001911515148465,0.006348689954272732,2.455463197008817,0.2756269593807027,21
