relation,target_context_size,method,instances,standardized_rmse,ndcg_at_top,pairwise_accuracy,normalized_top1_regret,negative_transfer_rate,interval_coverage_95
matching,6,Calibrated-Source+Residual,8,0.760721333930789,0.8525206105014947,0.7646943933823529,0.19727731224050393,0.125,0.76953125
matching,6,Fixed-Source+Residual,8,0.9879446815290363,0.5813438646896929,0.7317899816176471,0.5675206239809971,0.625,0.873046875
matching,6,Gated-Source+Residual,8,0.7465037412373992,0.9096456241261084,0.7690563725490196,0.09318506382688975,0.0,0.78857421875
matching,6,Source-Affine-Only,8,1.001001390118737,0.4776726179683313,0.5454793159997002,0.5529714490671493,0.875,0.861328125
matching,6,Target-Only,8,0.7930430947640275,0.9058576439132487,0.7550972732843138,0.096691391522648,0.0,0.80859375
matching,12,Calibrated-Source+Residual,8,0.40284619755940554,0.9912463836729768,0.9101524203431373,0.0030944222538165376,0.125,0.9267578125
matching,12,Fixed-Source+Residual,8,0.49084676315531317,0.8773292849996126,0.8832222732843137,0.32588681431208544,0.625,0.927734375
matching,12,Gated-Source+Residual,8,0.40282495291621734,0.9912463836729768,0.9101600796568627,0.0030944222538165376,0.125,0.9267578125
matching,12,Source-Affine-Only,8,0.9715849793938628,0.4045276532700096,0.5603690218820532,0.8097490459667729,1.0,0.9267578125
matching,12,Target-Only,8,0.3840172274044826,0.9953108231752098,0.9155675551470588,0.0024911575744292875,0.0,0.97265625
reversed,6,Calibrated-Source+Residual,8,0.877532122496179,0.8156029386088158,0.7351332720588235,0.21897890366119172,0.375,0.79345703125
reversed,6,Fixed-Source+Residual,8,1.1896980273837405,0.45343253509191633,0.6449984681372549,0.8954774971870928,1.0,0.83203125
reversed,6,Gated-Source+Residual,8,0.7930430947640275,0.9058576439132487,0.7550972732843138,0.096691391522648,0.0,0.80859375
reversed,6,Source-Affine-Only,8,1.116508260471532,0.2994371066711549,0.4901731004901961,0.8600801599045891,1.0,0.88134765625
reversed,6,Target-Only,8,0.7930430947640275,0.9058576439132487,0.7550972732843138,0.096691391522648,0.0,0.80859375
reversed,12,Calibrated-Source+Residual,8,0.40683917239885303,0.9948929734316403,0.9083103553921569,0.0024911575744292875,0.25,0.96630859375
reversed,12,Fixed-Source+Residual,8,0.5835467085931064,0.9609629608762487,0.8487132352941177,0.17842938831169916,1.0,0.96484375
reversed,12,Gated-Source+Residual,8,0.3840172274044826,0.9953108231752098,0.9155675551470588,0.0024911575744292875,0.0,0.97265625
reversed,12,Source-Affine-Only,8,1.0257962522579374,0.3745910735280681,0.5050628063725491,0.6661253497725884,1.0,0.95556640625
reversed,12,Target-Only,8,0.3840172274044826,0.9953108231752098,0.9155675551470588,0.0024911575744292875,0.0,0.97265625
wrong,6,Calibrated-Source+Residual,8,0.9438904771977329,0.9001258206867415,0.7604434742647059,0.096691391522648,0.125,0.7802734375
wrong,6,Fixed-Source+Residual,8,1.3913978860518497,0.5709346505813033,0.7125268075980392,0.5756932402675072,0.5,0.85986328125
wrong,6,Gated-Source+Residual,8,0.7798993601319372,0.8992485773834369,0.7540594362745098,0.096691391522648,0.0,0.798828125
wrong,6,Source-Affine-Only,8,1.172655336201596,0.47232780884408143,0.5576671715527464,0.41482606432834734,1.0,0.87158203125
wrong,6,Target-Only,8,0.7930430947640275,0.9058576439132487,0.7550972732843138,0.096691391522648,0.0,0.80859375
wrong,12,Calibrated-Source+Residual,8,0.3844787218904159,0.9949853765180812,0.9135799632352941,0.0024911575744292875,0.25,0.97119140625
wrong,12,Fixed-Source+Residual,8,0.5416182958961058,0.8673730153831234,0.8668658088235294,0.25904079187620715,0.625,0.958984375
wrong,12,Gated-Source+Residual,8,0.38955862225008875,0.9953384099482854,0.9134267769607843,0.0024911575744292875,0.125,0.970703125
wrong,12,Source-Affine-Only,8,0.9854191506166075,0.41745436262466984,0.5882250492932999,0.46896525616643925,1.0,0.962890625
wrong,12,Target-Only,8,0.3840172274044826,0.9953108231752098,0.9155675551470588,0.0024911575744292875,0.0,0.97265625
