problem,dim,seed,method,selected_y,raw_regret,normalized_regret,true_rank,acquisition_rank,hit_top05,hit_top10,filter_active,retained_count,retained_fraction,target_top1_retained,compatibility_trust,compatibility_raw_evidence,compatibility_spearman,compatibility_elite_enrichment,source_regions
Lunacek,5,8888,Target-Only,116.0643587906286,86.69470102502414,1.0762663784817632,95,0,0.0,0.0,0.0,100,1.0,1.0,0.0,0.0,0.0,0.0,0
Lunacek,5,8888,Matching-Fixed-Filter,70.04627424155511,40.67661647595065,0.5049775151866133,14,2,0.0,0.0,1.0,25,0.25,0.0,1.0,0.37849650349650354,0.5524475524475525,0.20454545454545459,6
Lunacek,5,8888,Matching-Adaptive-Filter,116.0643587906286,86.69470102502414,1.0762663784817632,95,0,0.0,0.0,1.0,83,0.83,1.0,0.229248251748236,0.37849650349650354,0.5524475524475525,0.20454545454545459,6
Lunacek,5,8888,Random-Adaptive-Filter,116.0643587906286,86.69470102502414,1.0762663784817632,95,0,0.0,0.0,1.0,85,0.85,1.0,0.20455419580418158,0.32910839160839167,0.41958041958041964,0.23863636363636365,6
Lunacek,5,8888,Wrong-Adaptive-Filter,116.0643587906286,86.69470102502414,1.0762663784817632,95,0,0.0,0.0,1.0,87,0.87,1.0,0.1800786713286586,0.28015734265734266,0.3216783216783217,0.2386363636363636,6
Lunacek,5,8888,Oracle-Fixed-Filter,116.0643587906286,86.69470102502414,1.0762663784817632,95,0,0.0,0.0,0.0,100,1.0,1.0,0.0,0.0,0.0,0.0,1
Lunacek,5,8888,Matching-Soft-Rerank,70.04627424155511,40.67661647595065,0.5049775151866133,14,2,0.0,0.0,0.0,100,1.0,1.0,,,,,6
Ackley,5,42,Target-Only,7.297476319822886,2.81805060619031,0.4394615107921864,12,0,0.0,0.0,0.0,100,1.0,1.0,0.0,0.0,0.0,0.0,0
Ackley,5,42,Matching-Fixed-Filter,7.297476319822886,2.81805060619031,0.4394615107921864,12,0,0.0,0.0,1.0,25,0.25,1.0,1.0,0.10445804195804197,0.17482517482517487,0.03409090909090906,6
Ackley,5,42,Matching-Adaptive-Filter,7.297476319822886,2.81805060619031,0.4394615107921864,12,0,0.0,0.0,1.0,94,0.94,1.0,0.09222902097901373,0.10445804195804197,0.17482517482517487,0.03409090909090906,6
Ackley,5,42,Random-Adaptive-Filter,7.297476319822886,2.81805060619031,0.4394615107921864,12,0,0.0,0.0,1.0,94,0.94,1.0,0.08720279720279027,0.09440559440559441,0.18881118881118883,0.0,6
Ackley,5,42,Wrong-Adaptive-Filter,7.297476319822886,2.81805060619031,0.4394615107921864,12,0,0.0,0.0,1.0,85,0.85,1.0,0.20695804195802758,0.33391608391608396,0.5314685314685316,0.1363636363636363,6
Ackley,5,42,Oracle-Fixed-Filter,7.297476319822886,2.81805060619031,0.4394615107921864,12,0,0.0,0.0,0.0,100,1.0,1.0,0.0,0.0,0.0,0.0,1
Ackley,5,42,Matching-Soft-Rerank,9.123349427378804,4.6439237137462275,0.7241976871400286,42,6,0.0,0.0,0.0,100,1.0,1.0,,,,,6
Ackley,5,101,Target-Only,11.131616534575866,5.370894215733639,0.9870512108133154,85,0,0.0,0.0,0.0,100,1.0,1.0,0.0,0.0,0.0,0.0,0
Ackley,5,101,Matching-Fixed-Filter,7.459444675661807,1.6987223568195802,0.3121874853208932,11,2,0.0,0.0,1.0,25,0.25,0.0,1.0,0.1958041958041958,0.3916083916083916,-5.551115123125783e-17,6
Ackley,5,101,Matching-Adaptive-Filter,11.131616534575866,5.370894215733639,0.9870512108133154,85,0,0.0,0.0,1.0,90,0.9,1.0,0.1379020979020878,0.1958041958041958,0.3916083916083916,-5.551115123125783e-17,6
Ackley,5,101,Random-Adaptive-Filter,11.131616534575866,5.370894215733639,0.9870512108133154,85,0,0.0,0.0,1.0,95,0.95,1.0,0.06906468531467948,0.05812937062937058,0.013986013986013986,0.10227272727272718,6
Ackley,5,101,Wrong-Adaptive-Filter,11.131616534575866,5.370894215733639,0.9870512108133154,85,0,0.0,0.0,1.0,96,0.96,1.0,0.0655681818181762,0.05113636363636359,-0.04195804195804196,0.10227272727272718,6
Ackley,5,101,Oracle-Fixed-Filter,11.131616534575866,5.370894215733639,0.9870512108133154,85,0,0.0,0.0,0.0,100,1.0,1.0,0.0,0.0,0.0,0.0,1
Ackley,5,101,Matching-Soft-Rerank,7.459444675661807,1.6987223568195802,0.3121874853208932,11,2,0.0,0.0,0.0,100,1.0,1.0,,,,,6
Ackley,5,2026,Target-Only,10.354339612753549,7.396152123948163,0.9461987628701024,83,0,0.0,0.0,0.0,100,1.0,1.0,0.0,0.0,0.0,0.0,0
Ackley,5,2026,Matching-Fixed-Filter,6.869052812799149,3.9108653239937623,0.5003217712805951,18,2,0.0,0.0,1.0,25,0.25,0.0,1.0,0.19143356643356643,0.31468531468531474,0.06818181818181812,6
Ackley,5,2026,Matching-Adaptive-Filter,10.354339612753549,7.396152123948163,0.9461987628701024,83,0,0.0,0.0,1.0,90,0.9,1.0,0.13571678321677325,0.19143356643356643,0.31468531468531474,0.06818181818181812,6
Ackley,5,2026,Random-Adaptive-Filter,10.354339612753549,7.396152123948163,0.9461987628701024,83,0,0.0,0.0,0.0,100,1.0,1.0,0.0,0.0,0.0,0.0,6
Ackley,5,2026,Wrong-Adaptive-Filter,7.657825740513282,4.699638251707896,0.6012304540498372,26,1,0.0,0.0,1.0,80,0.8,0.0,0.27907342657340767,0.4781468531468532,0.6153846153846154,0.34090909090909094,6
Ackley,5,2026,Oracle-Fixed-Filter,10.354339612753549,7.396152123948163,0.9461987628701024,83,0,0.0,0.0,0.0,100,1.0,1.0,0.0,0.0,0.0,0.0,1
Ackley,5,2026,Matching-Soft-Rerank,6.869052812799149,3.9108653239937623,0.5003217712805951,18,2,0.0,0.0,0.0,100,1.0,1.0,,,,,6
Ackley,5,777,Target-Only,6.607688706448279,1.9430195370361965,0.33056146015782734,12,0,0.0,0.0,0.0,100,1.0,1.0,0.0,0.0,0.0,0.0,0
