dim,seed,delta,method,selected_y,normalized_regret,target_only_normalized_regret,regret_reduction,true_rank,acquisition_rank,hit_top10,filter_active,retained_fraction,target_top1_retained,compatibility_trust,compatibility_raw_evidence,compatibility_spearman,source_regions
2,42,0.0,Fixed-Filter,-0.4817919076977997,0.4485754778721468,0.892113932492535,0.4435384546203882,13,11,0.0,1.0,0.25,0.0,1.0,0.5071428571428571,0.7142857142857143,2
2,42,0.0,Adaptive-Filter,-0.3890340298830083,0.6042087478978169,0.892113932492535,0.28790518459471814,18,1,0.0,1.0,0.85,0.0,0.20142857142853626,0.5071428571428571,0.7142857142857143,2
2,42,0.5,Fixed-Filter,-0.4817919076977997,0.4485754778721468,0.892113932492535,0.4435384546203882,13,11,0.0,1.0,0.25,0.0,1.0,0.07142857142857144,0.14285714285714288,2
2,42,0.5,Adaptive-Filter,-0.3890340298830083,0.6042087478978169,0.892113932492535,0.28790518459471814,18,1,0.0,1.0,0.925,0.0,0.11428571428568786,0.07142857142857144,0.14285714285714288,2
2,42,1.0,Fixed-Filter,-0.46073514006756716,0.4839054539309694,0.892113932492535,0.4082084785615656,14,6,0.0,1.0,0.25,0.0,1.0,0.07142857142857144,0.14285714285714288,2
2,42,1.0,Adaptive-Filter,-0.21744170948469582,0.892113932492535,0.892113932492535,0.0,31,0,0.0,1.0,0.925,1.0,0.11428571428568786,0.07142857142857144,0.14285714285714288,2
2,42,2.0,Fixed-Filter,-0.21744170948469582,0.892113932492535,0.892113932492535,0.0,31,0,0.0,1.0,0.25,1.0,1.0,0.5357142857142857,0.7714285714285715,2
2,42,2.0,Adaptive-Filter,-0.21744170948469582,0.892113932492535,0.892113932492535,0.0,31,0,0.0,1.0,0.85,1.0,0.20714285714282143,0.5357142857142857,0.7714285714285715,2
2,101,0.0,Fixed-Filter,-0.5475648795243974,0.10847140564508854,0.491253881305538,0.38278247566044943,6,2,0.0,1.0,0.25,0.0,1.0,0.5642857142857143,0.8285714285714287,2
2,101,0.0,Adaptive-Filter,-0.3622691425031014,0.491253881305538,0.491253881305538,0.0,14,0,0.0,1.0,0.85,1.0,0.21285714285710655,0.5642857142857143,0.8285714285714287,2
2,101,0.5,Fixed-Filter,-0.1561356854862646,0.9170827549848238,0.491253881305538,-0.42582887367928585,26,10,0.0,1.0,0.25,0.0,1.0,0.5071428571428571,0.7142857142857143,2
2,101,0.5,Adaptive-Filter,-0.3622691425031014,0.491253881305538,0.491253881305538,0.0,14,0,0.0,1.0,0.85,1.0,0.20142857142853626,0.5071428571428571,0.7142857142857143,2
2,101,1.0,Fixed-Filter,-0.14360285751183965,0.9429729724080426,0.491253881305538,-0.4517190911025046,28,14,0.0,1.0,0.25,0.0,1.0,0.042857142857142864,0.08571428571428573,2
2,101,1.0,Adaptive-Filter,-0.3622691425031014,0.491253881305538,0.491253881305538,0.0,14,0,0.0,1.0,0.925,1.0,0.10857142857140271,0.042857142857142864,0.08571428571428573,2
2,101,2.0,Fixed-Filter,-0.5475648795243974,0.10847140564508854,0.491253881305538,0.38278247566044943,6,2,0.0,1.0,0.25,0.0,1.0,0.31785714285714295,0.48571428571428577,2
2,101,2.0,Adaptive-Filter,-0.3622691425031014,0.491253881305538,0.491253881305538,0.0,14,0,0.0,1.0,0.9,1.0,0.16357142857139723,0.31785714285714295,0.48571428571428577,2
