problem,dim,seed,method,initial_best_y,final_best_y,total_improvement
GMM,2,42,Target-Only,-0.2392057150710081,-0.4987695132387471,0.259563798167739
GMM,2,42,Source-Region,-0.2392057150710081,-0.4977388781596552,0.25853316308864704
GMM,2,42,Random-Region,-0.2392057150710081,-0.4570713891716669,0.2178656741006588
GMM,2,42,Wrong-Source,-0.2392057150710081,-0.4987695132387471,0.259563798167739
GMM,2,42,Oracle-Target-Region,-0.2392057150710081,-0.9734616352607792,0.7342559201897711
GMM,2,42,Hard-Filter,-0.2392057150710081,-0.42832065906118755,0.18911494399017945
GMM,2,101,Target-Only,-0.2858656567805446,-0.7873017083363058,0.5014360515557612
GMM,2,101,Source-Region,-0.2858656567805446,-0.7822359584522085,0.4963703016716639
GMM,2,101,Random-Region,-0.2858656567805446,-0.7771945687131578,0.49132891193261324
GMM,2,101,Wrong-Source,-0.2858656567805446,-0.7873017083363058,0.5014360515557612
GMM,2,101,Oracle-Target-Region,-0.2858656567805446,-0.7952529219489735,0.5093872651684288
GMM,2,101,Hard-Filter,-0.2858656567805446,-0.7819086638013799,0.4960430070208353
GMM,2,2026,Target-Only,-0.46503067946996396,-0.59458080024611,0.12955012077614608
GMM,2,2026,Source-Region,-0.46503067946996396,-0.5939577193484452,0.12892703987848125
GMM,2,2026,Random-Region,-0.46503067946996396,-0.6001270139996813,0.1350963345297173
GMM,2,2026,Wrong-Source,-0.46503067946996396,-0.59458080024611,0.12955012077614608
GMM,2,2026,Oracle-Target-Region,-0.46503067946996396,-0.596662744172368,0.13163206470240402
GMM,2,2026,Hard-Filter,-0.46503067946996396,-0.5992828993603855,0.13425221989042152
Rastrigin,2,42,Target-Only,15.862260482938963,10.649659840943485,5.212600641995477
Rastrigin,2,42,Source-Region,15.862260482938963,12.417256182830254,3.4450043001087085
Rastrigin,2,42,Random-Region,15.862260482938963,10.254248487392545,5.608011995546418
Rastrigin,2,42,Wrong-Source,15.862260482938963,10.649659840943485,5.212600641995477
Rastrigin,2,42,Oracle-Target-Region,15.862260482938963,9.754541196958943,6.10771928598002
Rastrigin,2,42,Hard-Filter,15.862260482938963,7.788716985431005,8.073543497507957
Rastrigin,2,101,Target-Only,32.85809536853591,9.573292493696428,23.284802874839485
Rastrigin,2,101,Source-Region,32.85809536853591,7.1707988542807755,25.687296514255138
Rastrigin,2,101,Random-Region,32.85809536853591,12.419174545027127,20.438920823508788
Rastrigin,2,101,Wrong-Source,32.85809536853591,9.573292493696428,23.284802874839485
Rastrigin,2,101,Oracle-Target-Region,32.85809536853591,2.7649621206065262,30.093133247929387
Rastrigin,2,101,Hard-Filter,32.85809536853591,5.158255888240506,27.69983948029541
Rastrigin,2,2026,Target-Only,12.365193862042506,1.8657173675854075,10.499476494457099
Rastrigin,2,2026,Source-Region,12.365193862042506,12.365193862042506,0.0
Rastrigin,2,2026,Random-Region,12.365193862042506,7.63611529462915,4.729078567413357
Rastrigin,2,2026,Wrong-Source,12.365193862042506,1.8657173675854075,10.499476494457099
Rastrigin,2,2026,Oracle-Target-Region,12.365193862042506,12.365193862042506,0.0
Rastrigin,2,2026,Hard-Filter,12.365193862042506,1.8657173675854075,10.499476494457099
Lunacek,2,42,Target-Only,13.885220097040262,6.148462369073002,7.736757727967261
Lunacek,2,42,Source-Region,13.885220097040262,9.130383424926682,4.75483667211358
Lunacek,2,42,Random-Region,13.885220097040262,7.989330516456308,5.895889580583955
Lunacek,2,42,Wrong-Source,13.885220097040262,6.148462369073002,7.736757727967261
Lunacek,2,42,Oracle-Target-Region,13.885220097040262,9.130383424926682,4.75483667211358
Lunacek,2,42,Hard-Filter,13.885220097040262,6.148462369073002,7.736757727967261
Lunacek,2,101,Target-Only,4.908392923013633,4.908392923013633,0.0
Lunacek,2,101,Source-Region,4.908392923013633,4.908392923013633,0.0
Lunacek,2,101,Random-Region,4.908392923013633,4.25038631156646,0.6580066114471723
Lunacek,2,101,Wrong-Source,4.908392923013633,4.908392923013633,0.0
Lunacek,2,101,Oracle-Target-Region,4.908392923013633,4.908392923013633,0.0
Lunacek,2,101,Hard-Filter,4.908392923013633,4.908392923013633,0.0
Lunacek,2,2026,Target-Only,15.641986650404164,3.351159243907682,12.290827406496481
Lunacek,2,2026,Source-Region,15.641986650404164,4.611216163522736,11.030770486881428
Lunacek,2,2026,Random-Region,15.641986650404164,2.5182727782169336,13.12371387218723
Lunacek,2,2026,Wrong-Source,15.641986650404164,3.351159243907682,12.290827406496481
Lunacek,2,2026,Oracle-Target-Region,15.641986650404164,0.3601676624578776,15.281818987946286
Lunacek,2,2026,Hard-Filter,15.641986650404164,9.891368604223118,5.750618046181046
Ackley,2,42,Target-Only,5.983087475308746,0.7005780927347094,5.2825093825740375
Ackley,2,42,Source-Region,5.983087475308746,0.6037139042444868,5.37937357106426
Ackley,2,42,Random-Region,5.983087475308746,0.7005780927347094,5.2825093825740375
Ackley,2,42,Wrong-Source,5.983087475308746,0.7005780927347094,5.2825093825740375
Ackley,2,42,Oracle-Target-Region,5.983087475308746,1.8361820525814,4.146905422727347
Ackley,2,42,Hard-Filter,5.983087475308746,1.2367131548446655,4.746374320464081
Ackley,2,101,Target-Only,1.1150843179808985,1.1150843179808985,0.0
Ackley,2,101,Source-Region,1.1150843179808985,1.1150843179808985,0.0
Ackley,2,101,Random-Region,1.1150843179808985,0.9842770750752732,0.1308072429056253
Ackley,2,101,Wrong-Source,1.1150843179808985,1.1150843179808985,0.0
Ackley,2,101,Oracle-Target-Region,1.1150843179808985,1.1150843179808985,0.0
Ackley,2,101,Hard-Filter,1.1150843179808985,1.1150843179808985,0.0
Ackley,2,2026,Target-Only,4.230320088761388,0.28084208535670685,3.9494780034046815
Ackley,2,2026,Source-Region,4.230320088761388,1.3533398951311928,2.8769801936301955
Ackley,2,2026,Random-Region,4.230320088761388,0.6709352416575354,3.559384847103853
Ackley,2,2026,Wrong-Source,4.230320088761388,0.28084208535670685,3.9494780034046815
Ackley,2,2026,Oracle-Target-Region,4.230320088761388,1.563441337093288,2.6668787516681003
Ackley,2,2026,Hard-Filter,4.230320088761388,1.6532991004749928,2.5770209882863955
GMM,5,42,Target-Only,-0.0002819665480578318,-0.033104807469468936,0.032822840921411106
GMM,5,42,Source-Region,-0.0002819665480578318,-0.2544325983256883,0.2541506317776305
GMM,5,42,Random-Region,-0.0002819665480578318,-0.0002819665480578318,0.0
GMM,5,42,Wrong-Source,-0.0002819665480578318,-0.033104807469468936,0.032822840921411106
GMM,5,42,Oracle-Target-Region,-0.0002819665480578318,-0.04873554537713492,0.04845357882907709
GMM,5,42,Hard-Filter,-0.0002819665480578318,-0.033104807469468936,0.032822840921411106
GMM,5,101,Target-Only,-0.013270621140863552,-0.013270621140863552,0.0
GMM,5,101,Source-Region,-0.013270621140863552,-0.4612642344708448,0.4479936133299813
GMM,5,101,Random-Region,-0.013270621140863552,-0.013270621140863552,0.0
GMM,5,101,Wrong-Source,-0.013270621140863552,-0.013270621140863552,0.0
GMM,5,101,Oracle-Target-Region,-0.013270621140863552,-0.20041648210540355,0.18714586096454
GMM,5,101,Hard-Filter,-0.013270621140863552,-0.03265973431100783,0.01938911317014428
