problem,dim,seed,n_init,target_only_r2,match_partial_corr,match_delta_r2,rand_partial_corr,rand_delta_r2,wrong_partial_corr,wrong_delta_r2,method,top1_true_y,top1_regret_pool,top1_improvement,top1_hit_top05,top1_hit_top10,rank_of_pool_oracle,top3_mean_regret_pool
GMM,2,42,6,0.14351067258395156,0.5817962466653742,0.2899103938813852,0.1871125585930808,0.029986641699046412,-0.28514245231896485,0.0696379080676075,Target-Only,-0.5283443291782803,0.41578592715972973,0.06094042079478257,0.0,0.0,392,0.41050417009490037
GMM,2,42,6,0.14351067258395156,0.5817962466653742,0.2899103938813852,0.1871125585930808,0.029986641699046412,-0.28514245231896485,0.0696379080676075,Source-Region,-0.3823351085815928,0.5617951477564173,0.0,0.0,0.0,146,0.6001793573850558
GMM,2,42,6,0.14351067258395156,0.5817962466653742,0.2899103938813852,0.1871125585930808,0.029986641699046412,-0.28514245231896485,0.0696379080676075,Random-Region,-0.038576738580704366,0.9055535177573057,0.0,0.0,0.0,44,0.9015601460880884
GMM,2,42,6,0.14351067258395156,0.5817962466653742,0.2899103938813852,0.1871125585930808,0.029986641699046412,-0.28514245231896485,0.0696379080676075,Wrong-Source,-0.1781119415371548,0.7660183148008552,0.0,0.0,0.0,333,0.7295603002281595
GMM,2,42,6,0.14351067258395156,0.5817962466653742,0.2899103938813852,0.1871125585930808,0.029986641699046412,-0.28514245231896485,0.0696379080676075,Oracle-Target-Region,-0.7079229238871018,0.2362073324509083,0.240519015503604,0.0,1.0,160,0.2258266139263344
GMM,2,42,6,0.14351067258395156,0.5817962466653742,0.2899103938813852,0.1871125585930808,0.029986641699046412,-0.28514245231896485,0.0696379080676075,Hard-Filter,-0.5514011373046654,0.3927291190333446,0.08399722892116768,0.0,0.0,200,0.37442661594807136
GMM,2,101,6,0.043164993349968483,0.4893395561821259,0.22911720540517144,-0.24479659229305722,0.05733869333175867,-0.2579043383725719,0.06364354342352962,Target-Only,-0.01280068330791982,0.9746523081536953,0.0,0.0,0.0,688,0.9769288696288322
GMM,2,101,6,0.043164993349968483,0.4893395561821259,0.22911720540517144,-0.24479659229305722,0.05733869333175867,-0.2579043383725719,0.06364354342352962,Source-Region,-0.30660692414601387,0.6808460673156013,0.16152206518954546,0.0,0.0,558,0.7087228937886048
GMM,2,101,6,0.043164993349968483,0.4893395561821259,0.22911720540517144,-0.24479659229305722,0.05733869333175867,-0.2579043383725719,0.06364354342352962,Random-Region,-0.010908126726913055,0.976544864734702,0.0,0.0,0.0,504,0.9740699210845979
GMM,2,101,6,0.043164993349968483,0.4893395561821259,0.22911720540517144,-0.24479659229305722,0.05733869333175867,-0.2579043383725719,0.06364354342352962,Wrong-Source,-0.06218897254379749,0.9252640189178176,0.0,0.0,0.0,760,0.9324603579724722
