delta,seed,partial_corr,delta_r2_oos,target_norm_regret,source_norm_regret,target_signed_improvement,source_signed_improvement,regret_reduction
0.0,42,0.0950448398333346,0.007662655422592923,1.5348040273495644,1.3620994520544178,-0.31268251359095217,-0.21170776779561595,0.1727045752951466
0.0,101,0.46403755998515206,0.19432981215257428,0.3025836927677729,1.2994536798806873,0.22154550273463902,-0.09512627589422518,-0.9968699871129143
0.0,2026,0.7454341148301884,0.5410212504496078,1.0310102553286167,0.8353224003258584,-0.01718284469479303,0.0912481883791797,0.19568785500275832
0.0,777,0.5442357824222219,0.2673081575244938,1.620765247799091,1.4517995667344008,-0.3811059255121821,-0.2773729564223985,0.16896568106469023
0.0,999,0.3095523395049746,0.08986973661634645,1.2355931593150187,0.5441057130260006,-0.15581825372206232,0.3015225564472697,0.691487446289018
0.0,1234,0.5194615274361847,0.24187758402972415,1.0374673915710848,0.7630929703680067,-0.03025662908601437,0.1913132412712843,0.2743744212030781
0.25,42,0.2130559442934209,0.04198613240960203,1.5348040273495644,1.3647090033978346,-0.31268251359095217,-0.2132334875577652,0.17009502395172982
0.25,101,0.412682268409033,0.15211846160059572,0.3025836927677729,1.8487651627766963,0.22154550273463902,-0.26962390001643155,-1.5461814700089234
0.25,2026,0.6976556034778562,0.47380598111303585,1.0310102553286167,1.035876453421003,-0.01718284469479303,-0.019879214821046487,-0.004866198092386309
0.25,777,0.41850926516796755,0.15608848768086425,1.620765247799091,1.4687154493280505,-0.3811059255121821,-0.2877581110594615,0.1520497984710405
0.25,999,0.35219036554608657,0.11700089064415065,1.2355931593150187,0.5441057130260006,-0.15581825372206232,0.3015225564472697,0.691487446289018
0.25,1234,0.28836338107647685,0.07095137843789723,1.0374673915710848,1.08903065977336,-0.03025662908601437,-0.07189632203071727,-0.0515632682022753
0.5,42,0.1732869355505023,0.027077647121677928,1.5348040273495644,1.4282847028459158,-0.31268251359095217,-0.25040413042903775,0.10651932450364865
0.5,101,0.4153416330607717,0.15410564502655832,0.3025836927677729,1.8487651627766963,0.22154550273463902,-0.26962390001643155,-1.5461814700089234
0.5,2026,0.6483908229123729,0.4101294916880688,1.0310102553286167,1.0310102553286167,-0.01718284469479303,-0.01718284469479303,0.0
0.5,777,0.4164269045843181,0.15413386519501915,1.620765247799091,1.4687154493280505,-0.3811059255121821,-0.2877581110594615,0.1520497984710405
0.5,999,0.2668654610920782,0.0672513637604697,1.2355931593150187,0.5441057130260006,-0.15581825372206232,0.3015225564472697,0.691487446289018
0.5,1234,0.5135458204782005,0.23688699183634965,1.0374673915710848,0.8141669750975723,-0.03025662908601437,0.1500686509157495,0.2233004164735125
1.0,42,-0.011992812595446342,-0.0014211759468720775,1.5348040273495644,1.1202251867854651,-0.31268251359095217,-0.07029175488323214,0.4145788405640993
1.0,101,0.3414495077679436,0.1024338441736794,0.3025836927677729,1.562091554084863,0.22154550273463902,-0.17855741920752027,-1.25950786131709
1.0,2026,0.4585691934717139,0.2034233221627294,1.0310102553286167,1.3796483432298245,-0.01718284469479303,-0.210363908688415,-0.34863808790120787
1.0,777,0.6498210726520715,0.3771190170462829,1.620765247799091,1.4762455452619234,-0.3811059255121821,-0.29238105699634953,0.14451970253716762
1.0,999,0.18983947629932063,0.03267059945629813,1.2355931593150187,0.5441057130260006,-0.15581825372206232,0.3015225564472697,0.691487446289018
1.0,1234,0.5640481059678082,0.28635164803306234,1.0374673915710848,0.8141669750975723,-0.03025662908601437,0.1500686509157495,0.2233004164735125
2.0,42,0.034548852095825255,-0.00023171185477688372,1.5348040273495644,1.3884947304791546,-0.31268251359095217,-0.22714022825348212,0.14630929687040983
2.0,101,0.1798861864750037,0.02820556990893852,0.3025836927677729,1.291224521482583,0.22154550273463902,-0.09251215142439984,-0.9886408287148101
2.0,2026,0.08032473201933793,0.004389487480530918,1.0310102553286167,1.2350085673616369,-0.01718284469479303,-0.13021871868286056,-0.2039983120330202
2.0,777,4.5087181660093994e-05,-0.000775216056891681,1.620765247799091,1.583345029380791,-0.3811059255121821,-0.35813255993842186,0.03742021841830012
2.0,999,-0.028649994656114786,0.0005765660643026749,1.2355931593150187,1.1171085779639178,-0.15581825372206232,-0.07745409148239382,0.11848458135110085
2.0,1234,-0.023785793648117042,0.0003370021337647522,1.0374673915710848,0.7299114137442763,-0.03025662908601437,0.21810886298826543,0.30755597782680855
4.0,42,-0.19632793136588497,0.03622866642519895,1.5348040273495644,1.6178430818142626,-0.31268251359095217,-0.36123274685100654,-0.08303905446469817
4.0,101,0.20208547827884601,0.03784189080511058,0.3025836927677729,2.6714235458973152,0.22154550273463902,-0.5309545617421757,-2.3688398531295425
4.0,2026,0.0742436303900963,-0.013094502312401723,1.0310102553286167,1.7518263317179352,-0.01718284469479303,-0.4165884788263531,-0.7208160763893185
4.0,777,0.1492104029842622,0.01949418620807497,1.620765247799091,1.443876492269526,-0.3811059255121821,-0.2725087494817817,0.17688875552956507
4.0,999,0.028723223327100846,-0.0015159190838806014,1.2355931593150187,1.2623129696516782,-0.15581825372206232,-0.17349038901897862,-0.02671981033665949
4.0,1234,-0.05522722366911366,0.002867304101685564,1.0374673915710848,0.9390607257444991,-0.03025662908601437,0.04921124584884495,0.09840666582658575
