seed,relation,method,standardized_rmse,ndcg_at_top,spearman,pairwise_accuracy,precision_at_top,normalized_top1_regret,mean_negative_log_likelihood,interval_coverage_95,n_test,oracle_order_agreement,fitted_expert_order_agreement,gate_accepted,gate_cv_gain,gate_context_pairwise,effective_mode,srmse_delta_vs_target_only,negative_transfer
11,identity,Target-Only,0.5261651001258378,0.9963417685693806,0.8966845817368011,0.8664191688424717,0.8974358974358975,0.005976407959788072,-0.4953230262637856,0.9609375,384,1.0,0.9835312036772605,False,,,target_only,0.0,False
11,identity,Fixed-Transfer,0.44119954996346766,0.9909096289745177,0.9728355684785188,0.9288375761531766,0.8974358974358975,0.03473346866892335,0.7260929508054028,0.5963541666666666,384,1.0,0.9835312036772605,False,,,fixed,-0.08496555016237017,False
11,identity,Calibrated-Transfer,0.419712300709057,0.9953386364424065,0.9756145942830017,0.9333251740644039,0.9230769230769231,0.03473346866892335,0.2595026854570867,0.6770833333333334,384,1.0,0.9835312036772605,False,,,calibrated,-0.10645279941678082,False
11,identity,Gated-Transfer,0.419712300709057,0.9953386364424065,0.9756145942830017,0.9333251740644039,0.9230769230769231,0.03473346866892335,0.2595026854570867,0.6770833333333334,384,1.0,0.9835312036772605,True,0.4154871495614819,0.9642857142857143,calibrated,-0.10645279941678082,False
11,output_affine,Target-Only,0.5261651001258376,0.9963417685693806,0.8966845817368011,0.8664191688424717,0.8974358974358975,0.005976407959788277,0.42096770561036917,0.9609375,384,1.0,0.9835312036772605,False,,,target_only,0.0,False
11,output_affine,Fixed-Transfer,0.44119954996346766,0.9909096289745177,0.9728355684785188,0.9288375761531766,0.8974358974358975,0.03473346866892343,1.6423836826795604,0.5963541666666666,384,1.0,0.9835312036772605,False,,,fixed,-0.08496555016236995,False
11,output_affine,Calibrated-Transfer,0.4197123007090571,0.9953386364424065,0.9756145942830017,0.9333251740644039,0.9230769230769231,0.03473346866892343,1.1757934173312425,0.6770833333333334,384,1.0,0.9835312036772605,False,,,calibrated,-0.10645279941678054,False
11,output_affine,Gated-Transfer,0.4197123007090571,0.9953386364424065,0.9756145942830017,0.9333251740644039,0.9230769230769231,0.03473346866892343,1.1757934173312425,0.6770833333333334,384,1.0,0.9835312036772605,True,0.4603089789486906,0.9642857142857143,calibrated,-0.10645279941678054,False
11,scale_0.7,Target-Only,0.5363969018775601,0.9874189246381246,0.8877962768302194,0.856396866840731,0.8461538461538461,0.006804175201641223,-1.1865126086833693,0.9557291666666666,384,0.9330124020887729,0.9307113812845933,False,,,target_only,0.0,False
11,scale_0.7,Fixed-Transfer,0.46662738816620913,0.9891030745993596,0.9390564070394357,0.8965540687554395,0.8974358974358975,0.006804175201641223,2.2364169746920135,0.5729166666666666,384,0.9330124020887729,0.9307113812845933,False,,,fixed,-0.06976951371135093,False
11,scale_0.7,Calibrated-Transfer,0.4486235322681012,0.9857347294557031,0.9433299565969279,0.9007832898172323,0.8717948717948718,0.006804175201641223,1.2867322026322843,0.625,384,0.9330124020887729,0.9307113812845933,False,,,calibrated,-0.08777336960945886,False
11,scale_0.7,Gated-Transfer,0.4486235322681012,0.9857347294557031,0.9433299565969279,0.9007832898172323,0.8717948717948718,0.006804175201641223,1.2867322026322843,0.625,384,0.9330124020887729,0.9307113812845933,True,0.6015623735572578,0.9285714285714286,calibrated,-0.08777336960945886,False
11,scale_1.5,Target-Only,0.4879126463343618,0.9777472737188976,0.928920899596487,0.8842879677980853,0.7692307692307693,0.006691666608968528,0.2298794644503895,0.96875,384,0.9419060052219321,0.9380006255694722,False,,,target_only,0.0,False
