dimension,panel,seed,relation,control,relation_or_control,condition,shell,method,baseline,metric,baseline_value,method_value,delta,delta_mean,ci_low,ci_high,seed_win_rate,n_seed_units,n_pair_units
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,geometry,target_only,normalized_top1_regret,0.0,0.0040070110274749,-0.0040070110274749,0.002171371791325787,-0.022900536906474128,0.029275086651329763,0.25,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,geometry,target_only,standardized_rmse,0.7111922828097745,0.7445795859773063,-0.0333873031675318,-0.006407274435828669,-0.07210264376296997,0.052287202660549675,0.625,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,geometry,target_only,spearman,0.835744369163157,0.8184112342061892,-0.017333134956967755,-0.015319567158029734,-0.06465342671328522,0.03591831209370993,0.375,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,geometry,target_only,precision_at_top,0.6923076923076923,0.6923076923076923,0.0,0.009615384615384623,-0.02884615384615387,0.05769230769230774,0.125,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,geometry,target_only,mean_negative_log_likelihood,-2.173786456140653,-2.4294656568653976,-0.2556792007247446,0.11440343000969763,-0.13672042537398274,0.37778010928550065,0.5,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,geometry,target_only,interval_coverage_95,1.0,1.0,0.0,-0.16796875,-0.26171875,-0.0732421875,0.0,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,rank,target_only,pairwise_accuracy,0.8220964566929134,0.8086860236220472,-0.013410433070866201,-0.0409694881889764,-0.09155081200787406,-0.0035832923228346636,0.0,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,rank,target_only,ndcg_at_top,0.9672768073076328,0.9641660654480296,-0.003110741859603139,-0.0880286236455726,-0.2908406222564912,0.02660153943253822,0.25,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,rank,target_only,normalized_top1_regret,0.0,0.0,0.0,-0.11108231342502513,-0.35441375988180035,0.020504208721012045,0.25,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,rank,target_only,standardized_rmse,0.7111922828097745,0.7442179514323104,-0.033025668622535864,-0.22450663180369396,-0.5984574329587282,-0.008256417191071008,0.0,8,8
